,100_episode_avg,episode_score
episode_200,0.012000000178813934,
episode 200,,0.0
episode_201,0.012000000178813934,
episode 201,,0.0
episode_202,0.011000000163912773,
episode 202,,0.0
episode_203,0.011000000163912773,
episode 203,,0.0
episode_204,0.011000000163912773,
episode 204,,0.0
episode_205,0.011000000163912773,
episode 205,,0.0
episode_206,0.011000000163912773,
episode 206,,0.0
episode_207,0.010000000149011612,
episode 207,,0.0
episode_208,0.010000000149011612,
episode 208,,0.0
episode_209,0.009000000134110451,
episode 209,,0.0
episode_210,0.009000000134110451,
episode 210,,0.0
episode_211,0.009000000134110451,
episode 211,,0.0
episode_212,0.009000000134110451,
episode 212,,0.0
episode_213,0.009000000134110451,
episode 213,,0.0
episode_214,0.009000000134110451,
episode 214,,0.0
episode_215,0.009000000134110451,
episode 215,,0.0
episode_216,0.009000000134110451,
episode 216,,0.0
episode_217,0.009000000134110451,
episode 217,,0.0
episode_218,0.010000000149011612,
episode 218,,0.10000000149011612
episode_219,0.011000000163912773,
episode 219,,0.10000000149011612
episode_220,0.011000000163912773,
episode 220,,0.0
episode_221,0.011000000163912773,
episode 221,,0.0
episode_222,0.010000000149011612,
episode 222,,0.0
episode_223,0.011000000163912773,
episode 223,,0.10000000149011612
episode_224,0.010000000149011612,
episode 224,,0.0
episode_225,0.010000000149011612,
episode 225,,0.0
episode_226,0.010000000149011612,
episode 226,,0.0
episode_227,0.010000000149011612,
episode 227,,0.0
episode_228,0.010000000149011612,
episode 228,,0.0
episode_229,0.010000000149011612,
episode 229,,0.0
episode_230,0.011000000163912773,
episode 230,,0.10000000149011612
episode_231,0.011000000163912773,
episode 231,,0.0
episode_232,0.011000000163912773,
episode 232,,0.0
episode_233,0.011000000163912773,
episode 233,,0.0
episode_234,0.010000000149011612,
episode 234,,0.0
episode_235,0.010000000149011612,
episode 235,,0.0
episode_236,0.010000000149011612,
episode 236,,0.0
episode_237,0.010000000149011612,
episode 237,,0.0
episode_238,0.010000000149011612,
episode 238,,0.0
episode_239,0.010000000149011612,
episode 239,,0.0
episode_240,0.009000000134110451,
episode 240,,0.0
episode_241,0.009000000134110451,
episode 241,,0.0
